_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
thietkenha_fresh_design,93.2,78.7,Unknown,2.24%,193.1K,thietkenha_fresh_design,4.9K,Thiết kế nội thất Fresh Design,"1,315,500 VND",Home & Garden,193100.0,2.24,4900.0,1315500.0,93.2,78.7,['Home & Garden'],1,0,0,0,0,0,0,12.1709686470671,8.497194544909547,14.089728139629432,False,False,False,False,mid,micro,['Others'],Others,True,micro | mid | Others
cauvangnhaxia,N/A,75.8,Unknown,5.88%,184.1K,cauvangnhaxia,47.7K,Cậu Vàng,"4,000,000 VND","Other Beauty & Personal Care, Pet Tips & Care, Health, Pets, Beauty & Personal Care",184100.0,5.88,47700.0,4000000.0,,75.8,"['Other Beauty & Personal Care', 'Pet Tips & Care', 'Health', 'Pets', 'Beauty & Personal Care']",5,0,0,0,0,1,0,12.123239799036943,10.77270764101727,15.201805169084134,False,False,False,False,high,micro,"['Others', 'Beauty & Fashion']",Others,True,micro | high | Others
_nhuuquynhh,N/A,84.4,Unknown,8.78%,84.3K,_nhuuquynhh,16.8K,[𝓠],"2,000,000 VND","Selfie, Lip Syncing, Beauty Tutorials & Tips",84300.0,8.78,16800.0,2000000.0,,84.4,"['Selfie', 'Lip Syncing', 'Beauty Tutorials & Tips']",3,0,0,0,0,1,0,11.342149006315793,9.729193687429403,14.508658238524095,False,False,False,False,mid,micro,"['Beauty & Fashion', 'Entertainment']",Beauty & Fashion,True,micro | mid | Beauty & Fashion
nlchi_08,N/A,N/A,Unknown,9.25%,7.3K,nlchi_08,34.4K,𝚎𝚖 𝙲𝚑𝚒𓆝 ⋆.˚ 𓇼,"500,000 VND","Lip Syncing, Selfie",7300.0,9.25,34400.0,500000.0,,,"['Lip Syncing', 'Selfie']",2,0,0,0,0,1,1,8.895766604056085,10.445840912706414,13.122365377402328,False,False,False,False,low,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | low | Entertainment
milopoor,90.2,78.6,Unknown,4.66%,590.9K,milopoor,191.7K,Milo Poor,"2,000,000 VND",Pet Tips & Care,590900.0,4.66,191700.0,2000000.0,90.2,78.6,['Pet Tips & Care'],1,0,0,0,0,0,0,13.289403769666063,12.16369214550422,14.508658238524095,False,False,True,False,mid,mid,['Others'],Others,True,mid | mid | Others
moctrafamily,N/A,87,Unknown,0.79%,172.2K,moctrafamily,51.1K,Nhà Tiếp Như❤️,"2,561,000 VND","Video Games, Household Products, Beauty Tutorials & Tips, Family, Other Beauty & Personal Care, Beauty & Personal Care, Baby, Kids & Maternity",172200.0,0.79,51100.0,2561000.0,,87.0,"['Video Games', 'Household Products', 'Beauty Tutorials & Tips', 'Family', 'Other Beauty & Personal Care', 'Beauty & Personal Care', 'Baby', 'Kids & Maternity']",8,0,0,0,0,1,0,12.056417678159836,10.841559345471941,14.755908755654058,False,False,False,False,mid,micro,"['Knowledge / Tech', 'Others', 'Beauty & Fashion', 'Lifestyle']",Knowledge / Tech,True,micro | mid | Knowledge / Tech
nguyenmy.tuyen,N/A,74.3,Unknown,8.25%,31.1K,nguyenmy.tuyen,11.6K,Nguyễn Mỹ Tuyên,"10,000,000 VND","Selfie, Outfits, Lip Syncing",31100.0,8.25,11600.0,10000000.0,,74.3,"['Selfie', 'Outfits', 'Lip Syncing']",3,0,0,0,0,1,0,10.344995251991222,9.358846580275406,16.118095750958314,False,False,False,False,high,micro,"['Beauty & Fashion', 'Entertainment']",Beauty & Fashion,True,micro | high | Beauty & Fashion
banddz7,93.7,80.4,Unknown,14.68%,356.4K,banddz7,153.4K,banddz7,"15,000,000 VND","Selfie, Lip Syncing",356400.0,14.68,153400.0,15000000.0,93.7,80.4,"['Selfie', 'Lip Syncing']",2,0,0,0,0,0,0,12.783811780410995,11.94081068679887,16.52356082573315,False,False,False,True,high,micro,"['Beauty & Fashion', 'Entertainment']",Beauty & Fashion,True,micro | high | Beauty & Fashion
co_ngan_2k,N/A,77.3,Unknown,6.51%,91.2K,co_ngan_2k,40.5K,Cô Ngân,"128,100,000 VND",Daily Life,91200.0,6.51,40500.0,128100000.0,,77.3,['Daily Life'],1,0,0,0,0,1,0,11.420821140914589,10.609081944147828,18.668321774673363,False,False,False,True,high,micro,['Lifestyle'],Lifestyle,True,micro | high | Lifestyle
chuyencuaaike,N/A,74.6,Unknown,1.68%,180.1K,chuyencuaaike,26.4K,chuyện của AI,"20,000 VND","Pet Tips & Care, Wildlife & Exotic Pets, Animation & Cosplay",180100.0,1.68,26400.0,20000.0,,74.6,"['Pet Tips & Care', 'Wildlife & Exotic Pets', 'Animation & Cosplay']",3,0,0,0,0,1,0,12.101273083619482,10.181157167204903,9.90353755128617,False,False,False,False,low,micro,"['Others', 'Entertainment']",Others,True,micro | low | Others
nguyenminhh_anhh,N/A,81.4,Unknown,3.62%,213.1K,nguyenminhh_anhh,27.5K,NguyễnMinh_Anh,"3,000,000 VND","Beauty Tutorials & Tips, Restaurant Exploration",213100.0,3.62,27500.0,3000000.0,,81.4,"['Beauty Tutorials & Tips', 'Restaurant Exploration']",2,0,0,0,0,1,0,12.269521510708264,10.221977646629885,14.914123179965662,False,False,False,False,mid,micro,"['Beauty & Fashion', 'Lifestyle']",Beauty & Fashion,True,micro | mid | Beauty & Fashion
vugiahieu99,N/A,86.4,Unknown,0.79%,1.5M,vugiahieu99,7.9K,Vũ Gia Hiếu,"5,000,000 VND","Cosmetics, Hair Design & Care, Beauty & Personal Care, Apparel & Accessories, Beauty Tutorials & Tips, Outfits",1500000.0,0.79,7900.0,5000000.0,,86.4,"['Cosmetics', 'Hair Design & Care', 'Beauty & Personal Care', 'Apparel & Accessories', 'Beauty Tutorials & Tips', 'Outfits']",6,0,0,0,0,1,0,14.220976332738882,8.974744612722734,15.424948670398354,True,False,False,False,high,mid,"['Others', 'Beauty & Fashion']",Others,True,mid | high | Others
chanh.n77,97.9,88.8,Unknown,11.28%,402K,chanh.n77,152.7K,Chanh noe,"5,000,000 VND","Skits, Comedy, Lip Syncing",402000.0,11.28,152700.0,5000000.0,97.9,88.8,"['Skits', 'Comedy', 'Lip Syncing']",3,0,0,0,0,0,0,12.904209855160254,11.936237039973754,15.424948670398354,False,False,False,False,high,micro,"['Others', 'Entertainment']",Others,True,micro | high | Others
hoaitam1998,96.9,78.8,Unknown,7.86%,44K,hoaitam1998,37.9K,人生,"200,000 VND","Home & Garden, Daily Life, Beverages & Production",44000.0,7.86,37900.0,200000.0,96.9,78.8,"['Home & Garden', 'Daily Life', 'Beverages & Production']",3,0,0,0,0,0,0,10.691967639914864,10.542732775946709,12.206077645517674,False,False,False,False,low,micro,"['Others', 'Lifestyle']",Others,True,micro | low | Others
