_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
stevent107,N/A,76.1,Unknown,2.77%,90.8K,stevent107,59.8K,Lịch Bồ Hóng,"5,000,000 VND","News & Entertainment, Social News & Events",90800.0,2.77,59800.0,5000000.0,,76.1,"['News & Entertainment', 'Social News & Events']",2,0,0,0,0,1,0,11.416425577744599,10.998777662206932,15.424948670398354,False,False,False,False,high,micro,"['Entertainment', 'Others']",Entertainment,True,micro | high | Entertainment
huyphong2368,95.2,76.8,Unknown,6.26%,76.2K,huyphong2368,117.9K,Huy Phong,"1,600,000 VND","Dance, Outfits",76200.0,6.26,117900.0,1600000.0,95.2,76.8,"['Dance', 'Outfits']",2,0,0,0,0,0,0,11.241129864948206,11.6776005682537,14.285514812209815,False,False,False,False,mid,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | mid | Entertainment
onlypassionmusic,91.8,79.4,Unknown,9.02%,1.1M,onlypassionmusic,11.2K,Feeling Soundz,"1,000,000 VND",Music,1100000.0,9.02,11200.0,1000000.0,91.8,79.4,['Music'],1,0,0,0,0,0,0,13.910821646859095,9.32375833901174,13.815511557963774,True,False,False,False,mid,mid,['Entertainment'],Entertainment,True,mid | mid | Entertainment
huynhly3004,N/A,87.8,Unknown,3.25%,29K,huynhly3004,2.8K,Huỳnh Ly 🍉,"11,650,000 VND","Lip Syncing, Beauty Tutorials & Tips",29000.0,3.25,2800.0,11650000.0,,87.8,"['Lip Syncing', 'Beauty Tutorials & Tips']",2,0,0,0,0,1,0,10.275085591132715,7.937731775260109,16.27081682381289,False,False,False,True,high,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | high | Entertainment
quangstir,93,79.7,Unknown,8.93%,46.9K,quangstir,355.1K,🥷🏻,"5,000,000 VND",Lip Syncing,46900.0,8.93,355100.0,5000000.0,93.0,79.7,['Lip Syncing'],1,0,0,0,0,0,0,10.75579427616868,12.780157535035352,15.424948670398354,False,False,True,False,high,micro,['Entertainment'],Entertainment,True,micro | high | Entertainment
m.sen.5.con6,N/A,78.4,Unknown,1.09%,84.5K,m.sen.5.con6,84.6K,Mẹ Sen 5 Con,"12,000,000 VND","Comedy, Family",84500.0,1.09,84600.0,12000000.0,,78.4,"['Comedy', 'Family']",2,0,0,0,0,1,0,11.344518647594766,11.345701365855424,16.300417291085605,False,False,False,True,high,micro,"['Entertainment', 'Lifestyle']",Entertainment,True,micro | high | Entertainment
neineiah_,90.8,76.8,Unknown,10.21%,109.5K,neineiah_,6.8K,koangw,"1,000,000 VND",Movies & TV,109500.0,10.21,6800.0,1000000.0,90.8,76.8,['Movies & TV'],1,0,0,0,0,0,0,11.603688960617083,8.824824939175638,13.815511557963774,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
theanhshop9,90.2,75,Unknown,7.81%,43.1K,theanhshop9,138.1K,Thế Anh Store🛍️,"1,300,000 VND","Comedy, Daily Life, Outfits",43100.0,7.81,138100.0,1300000.0,90.2,75.0,"['Comedy', 'Daily Life', 'Outfits']",3,0,0,0,0,0,0,10.67130147767883,11.835740580500783,14.077875591662238,False,False,False,False,mid,micro,"['Entertainment', 'Lifestyle', 'Beauty & Fashion']",Entertainment,True,micro | mid | Entertainment
hoiucvigiac,90.1,77.1,Unknown,4.46%,273.8K,hoiucvigiac,4.2K,Hồi Ức Vị Giác,"350,000 VND","Animation & Cosplay, Cooking & Recipes",273800.0,4.46,4200.0,350000.0,90.1,77.1,"['Animation & Cosplay', 'Cooking & Recipes']",2,0,0,0,0,0,0,12.520156844130765,8.343077871169383,12.765691290604371,False,False,False,False,low,micro,"['Entertainment', 'Lifestyle']",Entertainment,True,micro | low | Entertainment
hieuride17x,N/A,90.9,Unknown,13.80%,80.5K,hieuride17x,59.4K,Hiếu-ToEi,"3,000,000 VND","Movies & TV, Music",80500.0,13.8,59400.0,3000000.0,,90.9,"['Movies & TV', 'Music']",2,0,0,0,0,1,0,11.296024885689746,10.992066340225865,14.914123179965662,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
quynhtrangtaybac,N/A,73.5,Unknown,0.91%,135.1K,quynhtrangtaybac,193.2K,Quỳnh Trang - Tây Bắc,"500,000 VND","Comedy, Family",135100.0,0.91,193200.0,500000.0,,73.5,"['Comedy', 'Family']",2,0,0,0,0,1,0,11.813777925845397,12.171486376730597,13.122365377402328,False,False,True,False,low,micro,"['Entertainment', 'Lifestyle']",Entertainment,True,micro | low | Entertainment
hokhang106,N/A,74.4,Unknown,5.65%,83.3K,hokhang106,25.9K,MỘt Chút Chill 🎶,"700,000 VND",Music,83300.0,5.65,25900.0,700000.0,,74.4,['Music'],1,0,0,0,0,1,0,11.330215832884798,10.16203685698089,13.45883704259595,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
morekii_handsome,97.9,77,Unknown,10.96%,86.6K,morekii_handsome,432.6K,MOREKII,"700,000 VND",Animation & Cosplay,86600.0,10.96,432600.0,700000.0,97.9,77.0,['Animation & Cosplay'],1,0,0,0,0,0,0,11.369066641827967,12.977571104102678,13.45883704259595,False,False,True,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
chau.macgi,95.2,75.5,Unknown,9.51%,49K,chau.macgi,53.6K,Châu Nè,"200,000 VND",Dance,49000.0,9.51,53600.0,200000.0,95.2,75.5,['Dance'],1,0,0,0,0,0,0,10.799595985047786,10.889323003601277,12.206077645517674,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
zhouxunfaner,91.8,79.7,Unknown,4.84%,95.8K,zhouxunfaner,6.3K,ZhouXun Fan,"100,000,000 VND",Movies & TV,95800.0,4.84,6300.0,100000000.0,91.8,79.7,['Movies & TV'],1,0,0,0,0,0,0,11.470028402317833,8.748463629942055,18.420680753952364,False,False,False,True,high,micro,['Entertainment'],Entertainment,True,micro | high | Entertainment
trhuuthanh_,98.7,93.4,Unknown,8.16%,88.2K,trhuuthanh_,43K,𝐓𝐇𝐀𝐍𝐇 𝐓𝐑𝐀𝐍,"2,800,000 VND","Lip Syncing, Dance",88200.0,8.16,43000.0,2800000.0,98.7,93.4,"['Lip Syncing', 'Dance']",2,0,0,0,0,0,0,11.38737357979909,10.668978650219241,14.845130332288226,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
phuongduc1990,N/A,70.4,Unknown,2.22%,56.9K,phuongduc1990,4.6K,Đức dương 🇻🇳,"120,000,000 VND",Comedy,56900.0,2.22,4600.0,120000000.0,,70.4,['Comedy'],1,0,0,0,0,1,0,10.949068194652432,8.434028950155469,18.603002309079653,False,False,False,True,high,micro,['Entertainment'],Entertainment,True,micro | high | Entertainment
tranmen122006,90.8,77.6,Unknown,8.36%,33.1K,tranmen122006,3.6K,TM Zaid,"200,000 VND",Music,33100.0,8.36,3600.0,200000.0,90.8,77.6,['Music'],1,0,0,0,0,0,0,10.407318772389159,8.188966863648876,12.206077645517674,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
nhi_banker,N/A,78.5,Unknown,8.05%,140.3K,nhi_banker,7.7K,nhi băng cơ,"999,999 VND","Lip Syncing, Cooking & Recipes, Selfie",140300.0,8.05,7700.0,999999.0,,78.5,"['Lip Syncing', 'Cooking & Recipes', 'Selfie']",3,0,0,0,0,1,0,11.8515453936489,8.94910546953925,13.815510557964274,False,False,False,False,low,micro,"['Entertainment', 'Lifestyle', 'Beauty & Fashion']",Entertainment,True,micro | low | Entertainment
mdung2k4,93,78.8,Unknown,8.87%,58.2K,mdung2k4,117.9K,Điêu Thuyền🐇,"800,000 VND","Dance, Selfie",58200.0,8.87,117900.0,800000.0,93.0,78.8,"['Dance', 'Selfie']",2,0,0,0,0,0,0,10.971657815702502,11.6776005682537,13.592368256649284,False,False,False,False,low,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | low | Entertainment
chungtunn,N/A,76.7,Unknown,2.25%,1.3M,chungtunn,407.3K,Chung Tũnn,"10,000,000 VND",Comedy,1300000.0,2.25,407300.0,10000000.0,,76.7,['Comedy'],1,0,0,0,0,1,0,14.077875591662238,12.917307748826223,16.118095750958314,True,False,True,False,high,mid,['Entertainment'],Entertainment,True,mid | high | Entertainment
chouchou20.03,92.7,80,Unknown,4.46%,70.5K,chouchou20.03,11.5K,Em 🖤,"184,000 VND","Lip Syncing, Beverages & Production, Selfie",70500.0,4.46,11500.0,184000.0,92.7,80.0,"['Lip Syncing', 'Beverages & Production', 'Selfie']",3,0,0,0,0,0,0,11.163382173096926,9.350189267092581,12.122696471358964,False,False,False,False,low,micro,"['Entertainment', 'Others', 'Beauty & Fashion']",Entertainment,True,micro | low | Entertainment
