FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,MEAN_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
4864,30,24.0,123213.4326357482,1.006611425003846,122404.16666666669,16903.833333333332,82400.0,31.08333333333333,149.0,478.5416666666667,4363.0,436.25,2265.0,25.165330317982452,0.1347611065991089,0.0003177186675415,0.0025382636221134,0.0029915199286855,3.473459641706924,0.2637362637362637,1.8461538461538465,4.300507199474687,
79800,301,70.0,434097.72208359465,1.6491788252151731,263220.52857142856,7277.014285714285,45800.0,43.65714285714286,332.0,1006.8714285714286,7444.0,2516.6428571428573,17454.0,3.2985028643036163,0.0239143938166164,0.0002010116343175,0.0028097700252314,0.0083298339554406,1.261417907944176,0.7032967032967034,5.384615384615385,9.877649034826613,75.5
1200000,355,14.0,361839.6299193247,1.4681534450673603,246459.0,6603.5,35900.0,90.5,469.0,2257.0714285714284,17900.0,468.7142857142857,3234.0,0.2053825,0.0224943748354397,0.0004928920125249,0.0046327747158622,0.0013988866642007,4.036218839031339,0.1428571428571428,1.0769230769230769,4.463217005650176,74.3
341200,92,46.0,175343.29645497867,1.4258294343032791,122976.34782608696,1440.9782608695652,8132.0,17.608695652173914,57.0,54.84782608695652,631.0,68.80434782608695,364.0,0.3604230592792701,0.0181194912182457,0.0003971726322549,0.0004941907001224,0.0010664918260075,1.7333994341563783,0.4505494505494505,3.5384615384615383,8.944809464879167,89.5
2000000,1058,87.0,1319993.094335781,3.399946940149197,388239.3218390805,1610.9770114942528,45100.0,61.88505747126437,1417.0,115.6206896551724,3186.0,105.93103448275862,4198.0,0.1941196609195402,0.0063845994515688,0.00086541868678,0.0003912324849823,0.0003133506424945,1.0351827627045649,0.5054945054945055,6.6923076923076925,23.181577686010865,86.5
117900,50,23.0,1996090.7313383052,2.3163178466795107,861751.6521739131,1153.1304347826087,11900.0,25.26086956521739,244.0,88.56521739130434,776.0,112.47826086956522,1534.0,7.309174318693071,0.0032750732050988,0.0006705766785846,0.0001803911118711,0.00038959665454,3.454882680976431,0.1758241758241758,1.7692307692307692,8.819246218813628,84.3
186500,223,71.0,753470.5018907159,3.0538032156838346,246731.8450704225,6363.295774647887,152200.0,170.73239436619718,3901.0,1322.7464788732395,29700.0,686.1408450704225,16716.0,1.3229589548011933,0.0333742730391981,0.0011741415395179,0.0045071156843494,0.0037208111094905,1.254375496031746,0.6923076923076923,5.461538461538462,24.72319695187383,76.4
11000,267,10.0,275912.11886041623,1.582667476945543,174333.6,6071.5,21300.0,46.0,109.0,7881.5,51400.0,693.1,2384.0,15.848509090909094,0.0414443532055167,0.0004873615064648,0.0239913955891176,0.005391474497084,9.161941872427985,0.1098901098901098,0.7692307692307693,5.25257322739132,78.9
156900,397,5.0,87291.80322172295,1.4265044779826457,61192.8,318.2,862.0,7.8,25.0,34.6,119.0,79.2,262.0,0.3900114722753346,0.021678440391115,0.0004628340561331,0.0030117091084701,0.0053658166896529,21.745243055555555,0.0549450549450549,0.3846153846153846,3.4464839000103527,73.7
29100,778,212.0,109763.10485571277,2.198192121266648,49933.3537735849,2529.103773584906,34300.0,107.51415094339625,2122.0,2350.443396226415,35500.0,100.44811320754717,1989.0,1.7159228100888284,0.0473099932463944,0.0018491442204675,0.0419766309266368,0.002349855324733,0.4247309987712832,0.9230769230769232,16.307692307692307,15.25633554355288,76.8
50700,494,35.0,35032.83831046802,0.9444384594074372,37093.828571428574,3148.7714285714287,12400.0,38.0,270.0,1264.9142857142858,5494.0,228.42857142857144,1367.0,0.7316336996336996,0.0862270663354343,0.0009492303318267,0.028569628242196,0.0060909518527011,1.7268511710239651,0.2857142857142857,2.6923076923076925,4.367303301779229,75.6
265800,365,4.0,96044.07468796118,1.1475074038425492,83698.0,1788.5,4114.0,11.0,30.0,6.5,17.0,11.75,29.0,0.3148908954100827,0.0339914228186829,0.0008348924040999,0.0002280899379326,0.0004212194761154,4.019922839506173,0.0439560439560439,0.3076923076923077,2.467203517378346,70.8
958900,913,25.0,336463.9827183092,2.142809723068185,157020.0,7337.12,47500.0,29.8,106.0,209.68,2352.0,225.0,1862.0,0.1637501303577015,0.0576762583259434,0.0004279001481647,0.0012890725579635,0.0019083318116376,3.542682291666667,0.2527472527472527,1.9230769230769231,10.826646287028234,75.9
11900,39,2.0,665033.9277059479,1.3787372814441157,482350.0,40560.0,80800.0,53.5,104.0,3204.5,6346.0,2511.0,5005.0,40.53361344537815,0.0556333861393697,0.0001785543870364,0.0059341896818277,0.0033295001240623,41.93032407407407,0.0219780219780219,0.1538461538461538,1.9749144811817665,77.7
72500,609,55.0,104050.1798482469,1.808048155417828,57548.34545454545,1846.7818181818184,18600.0,14.654545454545454,124.0,73.0909090909091,1629.0,295.5272727272727,5914.0,0.7937702821316615,0.0589152583685911,0.0005685348468316,0.0014414903874194,0.005454426982938,1.6110495970507543,0.5274725274725275,4.230769230769231,10.446868545758814,73.9
57500,209,15.0,24506.30655410581,0.8408427726694051,29144.93333333333,1484.6666666666667,4210.0,84.13333333333334,435.0,168.8,530.0,261.06666666666666,1152.0,0.5068684057971015,0.0624891515837067,0.0027115272865175,0.0057745497837065,0.0094832489408496,5.9738111772486775,0.1648351648351648,1.1538461538461535,3.6301335393814544,71.6
334400,90,6.0,74346.15775882437,1.134735345859408,65518.5,2055.333333333333,4689.0,53.333333333333336,69.0,56.66666666666666,229.0,364.6666666666667,952.0,0.1959285287081339,0.0595627867917056,0.0158953619501974,0.002487799217025,0.1919093942721876,15.609252314814814,0.0659340659340659,0.4615384615384615,3.221990735391958,71.5
