FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,VIEW_P90,MEAN_LIKES_3M,P90_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,P90_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,P90_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,P90_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
34700.0,396,39.0,9020.530158556676,0.8834152197968429,10210.97435897436,20840.000000000025,945.0,2516.0,3884.0,6.128205128205129,12.600000000000009,29.0,28.53846153846154,91.00000000000004,206.0,149.02564102564102,346.8000000000002,548.0,0.2942643907485406,0.090365973003779,0.0006797499167075,0.0019724502516257,0.0143552652455218,2.186655397173489,0.3076923076923077,3.0,3.858593569135055,79.6
283800.0,1273,322.0,20107.03665309596,2.4071992914709264,8352.875776397515,18900.00000000007,291.16149068322983,676.000000000002,7166.0,2.8385093167701863,7.900000000000034,71.0,5.77639751552795,9.900000000000034,186.0,21.83540372670808,34.900000000000034,490.0,0.0294322613685606,0.0305428481708034,0.0003386427131199,0.0003980118507611,0.0045282406410687,0.2489587660089996,0.8241758241758241,24.76923076923077,26.5058413294135,74.0
104600.0,1484,344.0,156538.15251641916,2.554624159090129,61276.39244186047,162410.0,2255.3982558139537,6282.099999999998,47900.0,28.773255813953487,64.39999999999998,439.0,148.8575581395349,444.4999999999997,4627.0,264.6511627906977,718.8,5619.0,0.5858163713370981,0.0359834086859294,0.0009237509208145,0.0019885349913591,0.0052880599626986,0.2562771298995788,0.967032967032967,26.46153846153846,29.37509745989827,84.2
619400.0,1729,51.0,63516.91686639512,1.428187815475922,44473.78431372549,108500.0,4988.21568627451,13700.0,36900.0,21.568627450980397,52.0,142.0,125.1372549019608,416.0,992.0,311.7647058823529,921.0,2169.0,0.0718013954047876,0.0721720912705991,0.0006169878598859,0.0017020130490688,0.0042699637788196,0.8316944444444445,0.3626373626373626,3.923076923076923,7.415604610260288,81.0
91900.0,386,41.0,35320.95685957006,1.9017142846169837,18573.219512195123,53800.0,1868.780487804878,3308.0,24800.0,11.146341463414634,14.0,159.0,107.2439024390244,171.0,1728.0,92.90243902439023,159.0,1077.0,0.2021024974123517,0.0863845127481368,0.001342061942247,0.0037520526602063,0.004349243304446,2.182299479166667,0.3736263736263736,3.1538461538461537,10.649742219407644,77.2
34700.0,304,25.0,14950.29252590062,1.2245184357821122,12209.12,23000.00000000001,787.96,1292.8000000000002,3415.0,31.28,57.40000000000001,118.0,7.08,15.0,33.0,37.08,65.2,196.0,0.3518478386167147,0.0793457881620481,0.00349953815179,0.0006068409651873,0.0034217822108477,3.498765914351852,0.2637362637362637,1.9230769230769231,6.069233490532549,73.8
503900.0,10600,478.0,413816.20254297066,4.034501337386967,102569.35564853557,229320.0,1600.4518828451885,3502.3,65500.0,23.635983263598327,34.0,3032.0,106.7970711297071,76.20000000000005,20500.0,64.30334728033473,129.0,3104.0,0.2035510133926087,0.0236527938230921,0.0003454663208383,0.0006909356016872,0.0013076925025326,0.0853920626601444,0.4615384615384615,36.76923076923077,71.17135477523159,75.8
93000.0,655,134.0,116404.85161734886,1.564815521312075,74388.86567164179,170180.00000000003,1671.9776119402984,3471.000000000002,31700.0,37.208955223880594,87.80000000000001,424.0,661.2089552238806,1075.9,11100.0,226.12686567164175,438.20000000000016,4909.0,0.799880276039159,0.0191788853796328,0.0005460276959387,0.0069209740565718,0.0027544310287328,0.6551317529935952,0.8241758241758241,10.307692307692308,8.998658521636623,76.3
156500.0,150,4.0,82016.6074457891,1.7409134218270197,47111.25,123210.00000000004,2054.75,5540.4000000000015,7698.0,41.25,111.50000000000004,155.0,37.75,101.70000000000002,141.0,233.0,631.2000000000002,879.0,0.3010303514376997,0.0276716584593509,0.0004006234515251,0.0003800109662483,0.0022079627147556,23.80060185185185,0.0329670329670329,0.3076923076923077,3.604234657250567,76.2
216900.0,97,38.0,143783.3907289091,1.1891977032655034,120907.8947368421,271760.00000000006,16209.0,45500.00000000001,91900.0,59.6578947368421,137.50000000000006,318.0,1478.1052631578948,4465.800000000001,12400.0,1997.2631578947369,4498.90000000001,12151.0,0.5574361214238917,0.1274344020243061,0.0004978904348189,0.0077729380691061,0.0161142939678622,2.1621252502502504,0.3846153846153846,2.923076923076923,6.1418652736460135,79.5
113000.0,293,38.0,75572.89264003947,1.2549313841332033,60220.73684210526,149980.0000000001,7268.763157894737,16020.000000000002,41700.0,23.55263157894737,42.500000000000064,176.0,622.8947368421053,1062.0000000000002,6748.0,450.2105263157895,933.6000000000004,2877.0,0.5329268747088962,0.1136682333125999,0.0005308498893577,0.0055497644384791,0.0061307670107328,2.243104041541541,0.3736263736263736,2.923076923076923,6.192219151544536,89.5
150100.0,374,36.0,41525.27253210836,1.259519475798123,32969.13888888889,54550.0,2386.8611111111118,3888.0,6968.0,53.388888888888886,89.0,143.0,24.77777777777778,40.0,94.0,60.66666666666666,102.5,229.0,0.219647827374343,0.0886511803540785,0.0020784286747571,0.0008723780557208,0.0022063097307896,2.283434854497355,0.3626373626373626,2.769230769230769,7.667776851688709,76.6
60600.0,77,11.0,1347651.523604924,1.681236511459382,801583.5454545454,2700000.0,35632.72727272727,123400.0,199300.0,233.3636363636364,382.0,1857.0,6030.545454545455,25900.0,26800.0,10790.636363636364,33007.0,66489.0,13.227451245124511,0.0285079634264033,0.0001838879039892,0.0050839641297434,0.0076427835506855,8.11154513888889,0.0879120879120879,0.8461538461538461,5.114875452776344,77.1
17900.0,60,29.0,132026.14605676025,1.9858220445811012,66484.37931034483,102800.0,4057.793103448276,5771.999999999999,30500.0,54.03448275862069,55.0,372.0,132.0,150.2,1227.0,289.48275862068965,448.8,2266.0,3.714211134656136,0.0748807863452938,0.0021361308774872,0.0017254461210238,0.0055697075673884,3.0730567956349204,0.3186813186813186,2.230769230769231,8.197414274528722,75.8
300800.0,142,22.0,48794.40324339245,0.4522378023106057,107895.45454545454,184720.0000000001,9593.40909090909,15100.0,20400.0,69.0,79.9,120.0,184.63636363636363,330.9000000000001,394.0,335.0,457.7,684.0,0.35869499516441,0.1019017316833589,0.0007791310961571,0.0020620728016144,0.0035932016755015,3.8581001984126986,0.2197802197802197,1.6923076923076923,1.9509626321595317,71.6
59000.0,773,51.0,699712.0227698439,5.854677492865421,119513.33333333331,23400.0,17140.803921568626,2580.0,763400.0,62.41176470588236,59.0,1757.0,1180.6470588235295,323.0,51500.0,2368.274509803922,560.0,100383.0,2.025649717514124,0.0705302100201357,0.0017687647102115,0.0037049442489592,0.0168938484989119,1.638800462962963,0.4505494505494505,3.923076923076923,41.836336252229856,80.6
35500.0,486,149.0,119476.33122109572,1.83101006158819,65251.59731543624,143380.0000000001,2780.5838926174497,6310.200000000011,39600.0,23.624161073825505,57.20000000000002,268.0,139.93959731543623,290.0000000000002,2682.0,258.86577181208054,606.2,3875.0,1.838073163815105,0.0443940759344261,0.0005362540842924,0.0019147001913478,0.0044484986438628,0.587298704954955,0.912087912087912,11.461538461538462,16.857824869260643,77.4
20800.0,404,51.0,362879.10206564254,2.7115823427199253,133825.58823529413,270500.0,2958.6470588235293,5332.0,20600.0,15.07843137254902,29.0,235.0,83.56862745098039,257.0,1379.0,233.1960784313725,624.0,2648.0,6.4339225113122165,0.0834643017059112,0.0002739156724813,0.0013194813795201,0.0039670391946805,1.7451736111111111,0.4505494505494505,3.923076923076923,14.944825024558275,81.1
4000000.0,425,25.0,828267.809588179,1.5374622433502898,538724.0,1265200.000000001,23537.04,58140.00000000002,193900.0,176.32,386.2000000000002,1318.0,332.56,783.4000000000003,3087.0,980.28,2298.400000000001,8293.0,0.134681,0.0356847783716241,0.0003698028041549,0.0004452695310972,0.0014438072094393,3.011460744598766,0.2637362637362637,1.9230769230769231,7.239328487301031,75.8
593100.0,1536,99.0,191956.5182492444,3.3751957332929305,56872.707070707074,90560.0,2349.010101010101,5267.000000000002,37100.0,6.040404040404041,9.200000000000005,168.0,103.45454545454544,165.40000000000018,2904.0,118.03030303030305,218.6,2049.0,0.0958905868668134,0.0464968601477644,0.0001786386769143,0.0014408548343006,0.0021483153182803,0.8872636763038548,0.6483516483516484,7.615384615384615,33.40794025514584,84.6
307500.0,2679,222.0,45653.83794494988,2.007495863914067,22741.68468468469,53680.0,2382.8513513513512,6915.500000000001,37700.0,34.887387387387385,70.70000000000002,913.0,420.2702702702703,1068.3000000000002,7666.0,205.37387387387383,520.5000000000001,4406.0,0.0739566981615762,0.0898981206606552,0.0016193613153372,0.0140488889085581,0.0071918624789854,0.3940467362158538,0.8681318681318682,17.076923076923077,18.16927838508371,75.6
434000.0,693,29.0,579421.6112225887,2.1384348702325,270955.9310344828,564279.9999999998,12204.03448275862,27119.999999999985,63300.0,108.3793103448276,333.19999999999993,759.0,922.551724137931,2497.7999999999997,5105.0,1386.103448275862,2884.3999999999987,8923.0,0.6243224217384395,0.0729199476484465,0.0006113663222007,0.0050104021283434,0.00866950630243,2.8096602182539683,0.2967032967032967,2.230769230769231,11.07191117217928,89.9
825000.0,379,62.0,633870.4020062463,2.2474669751731264,282037.6935483871,1060979.9999999995,2894.451612903226,6006.099999999999,77000.0,66.5,82.8,2267.0,382.0967741935484,508.19999999999993,10300.0,205.4516129032258,379.5,4463.0,0.3418638709677419,0.0130665425861556,0.0004727331547621,0.0007210512592901,0.0008772743129643,1.4090822328476016,0.4285714285714285,4.769230769230769,11.346001166470517,94.1
121900.0,1431,156.0,331140.5331182788,1.813382428599623,182609.3205128205,485150.0,6975.461538461538,18300.0,85400.0,123.58333333333331,329.0,1469.0,7834.198717948718,17400.0,174800.0,790.775641025641,1981.5,9710.0,1.49802559895669,0.0364343863955605,0.0010692397426321,0.0318761529591821,0.0042445398297987,0.5617598566308244,0.945054945054945,12.0,10.404726301230616,76.3
179000.0,206,71.0,182678.5143203308,1.4100328539369529,129556.21126760564,353900.0,2238.8028169014083,7017.0,14300.0,208.2676056338028,115.0,11200.0,596.5211267605633,320.0,33000.0,261.19718309859155,814.0,1733.0,0.7237777165788024,0.0191262476079141,0.0009360449332571,0.0013529787650307,0.0022216742770925,1.1572776124338624,0.4395604395604395,5.461538461538462,5.494912154570773,76.8
248000.0,320,6.0,7822742.517919573,2.165714850963407,3612083.3333333335,10750000.0,94197.0,270250.0,295100.0,195.5,540.5,670.0,1892.1666666666667,5434.0,5767.0,10731.833333333334,30838.0,33885.0,14.564852150537634,0.1151941583968961,0.0004406711030489,0.0023494118820046,0.0128682708298743,7.539423611111111,0.0659340659340659,0.4615384615384615,5.398546545159424,71.3
58700.0,72,12.0,442186.1320516371,0.9702560998752952,455741.6666666667,1085130.0,29114.916666666668,71030.0,75300.0,267.5833333333333,580.4,814.0,2321.4166666666665,5722.0,6382.0,1924.5833333333333,3777.7,6430.0,7.763912549687678,0.0616639633237099,0.0007362570208861,0.005861748758362,0.0046486749125412,7.182636784511785,0.1318681318681318,0.9230769230769232,2.6330706357710696,76.0
