"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"_lacquanyeudoihaha",9.41743583886879,4.11087386417331,6.38,13.6290616955503,9.35018926709258,2.56494935746154,76.5,"1",12.2060776455177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dpshop.vn",12.0633621103246,1.6094379124341,3.51,14.4032977784218,5.8171111599632,5.85793315448346,73.5,"0",16.1180957509583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"hanivani_hv",13.2969904071056,7.13568734702814,2.62,15.8304137118399,9.79261185619019,7.06561336359772,75.5,"0",15.4249486703984,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"dangquocviet0502",12.1045990105993,1.38629436111989,7,11.8941047110871,7.05875815251866,2.77258872223978,75.4,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"isstl",12.2229346790054,6.22059017009974,7.03,15.5733686479304,10.6549272258476,6.70196036600254,74.6,"1",14.9261090574702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"giadinhhoanhi.diary",12.0569982263297,4.75359019110636,0.48,15.6718087045799,8.43315919580623,5.29330482472449,71.6,"0",15.2018051690841,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4
"dieulinhxinh_",11.9230530202926,3.71357206670431,10.31,14.3461393972616,8.20303024171486,4.31748811353631,79.3,"1",14.5086582385241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"chuthovuive",11.9076733482372,0,2.75,14.6909797119848,8.89809234557915,6.4393503711001,73.5,"0",11.9183972397228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"tuandungactor",11.908346971209,4.02535169073515,3.1,15.687312888712,6.88857245956536,5.80814248998044,72.9,"0",14.7318016898383,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5
"phuocloc.accphu",12.0305340324731,2.56494935746154,2.56,14.4032977784218,8.82541291508557,4.83628190695148,73,"0",13.8155115579638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"traivanphongthichreview",12.445487104759,3.95124371858143,2.23,15.7614208498767,10.6919676399149,5.49306144334055,70.4,"0",14.7318016898383,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"tyra.tn",9.85224688834253,2.30258509299405,14.69,14.9786616802699,8.28626945278307,5.65599181081985,76,"1",10.8197982842103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"duguwuchen",10.4913019948302,1.79175946922805,5.76,12.7730923850168,9.96180362935896,4.87519732320115,81.4,"1",18.6030023090797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"jeffthetrash",11.3964028846062,3.04452243772342,5.38,14.2209763327389,6.70808408385307,4.07753744390572,71.9,"0",15.4249486703984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"bongtruyenthong",11.8167342993485,6.47850964220857,1.93,16.7807836755799,10.3056472036356,9.22038970782918,77.2,"0",16.1180957509583,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"nnarutodauvang",11.5655274027104,3.29583686600433,4.96,15.5202588320209,11.223922520551,5.52146091786225,74.2,"0",11.6952553550628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
